Date,Description,Debit,Credit,Balance
01/03/2025,Salary Credit,,95000,95000
02/03/2025,Swiggy Order 8834729,450,,94550
03/03/2025,BigBasket Groceries,3200,,91350
04/03/2025,Uber Ride,320,,91030
05/03/2025,Netflix Subscription,649,,90381
06/03/2025,Electricity Bill BESCOM,2100,,88281
08/03/2025,Zepto Quick Commerce,1200,,87081
10/03/2025,Zomato Food Order,780,,86301
11/03/2025,Amazon Prime,1499,,84802
12/03/2025,Petrol IOCL Pump,3500,,81302
14/03/2025,Meesho Shopping,1850,,79452
15/03/2025,Rent Payment,22000,,57452
16/03/2025,HDFC Life Insurance,5000,,52452
17/03/2025,Swiggy Instamart,1890,,50562
18/03/2025,Movie Tickets BookMyShow,960,,49602
19/03/2025,Uber Eats,640,,48962
20/03/2025,MG Road Restaurant Dinner,2400,,46562
21/03/2025,Spotify Premium,119,,46443
22/03/2025,Pharmacy Apollo,1200,,45243
23/03/2025,Flipkart Electronics,4500,,40743
25/03/2025,Uber Auto,280,,40463
26/03/2025,Nykaa Beauty Products,1750,,38713
27/03/2025,Swiggy Order,520,,38193
28/03/2025,SIP - Parag Parikh Flexi Cap,5000,,33193
29/03/2025,LIC Premium,3000,,30193
30/03/2025,Freelance Income,,15000,45193
31/03/2025,BigBasket Groceries,2800,,42393
